iteration_mean,iteration_stdev,silhouette_scores_mean,silhouette_scores_stdev,calinski_harabaz_scores_mean,calinski_harabaz_scores_stdev
6.3,0.48304589153964794,0.29634430538235373,0.0003164921150210212,118.32662006708796,0.0029043724096910694
6.35,0.5871429486123998,0.29634430538235373,0.0003080508040523468,118.32662006708799,0.0028269085187603194
6.333333333333333,0.6608945522512667,0.29637766658051873,0.00025392021773403933,118.3269262148209,0.002330165080416946
6.275,0.8766925023004039,0.2963943471796012,0.0002209059388262246,118.32707928868737,0.0020272009424969657
6.4,0.9258200997725514,0.29638433882015175,0.00024009847895155084,118.32698744436749,0.0022033262908595086
6.35,0.9356408118576056,0.2963943471796012,0.00021996790512457352,118.32707928868737,0.0020185928316691047
6.285714285714286,0.9501007901202712,0.296387198351423,0.0002339867647767663,118.32701368560174,0.002147240552279985
6.2625,0.9104700413536579,0.29638183673028934,0.00024379230264673298,118.32696448328751,0.0022372236270543707
6.288888888888889,0.8899494297518289,0.29637766658051873,0.0002510509706236772,118.3269262148209,0.0023038346862325706
6.32,0.8975837374064692,0.2963743304607022,0.0002566467633461304,118.3268956000476,0.002355185937091016
